Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
0,0,"Allegory of the Cave, Feminist Manifesto, the Matrix, and Katie Merz's Live the Questions (The Smokestack)",Activities/SummerReading,Participation: Ice Breaker Reflection Handed Out,Participation/IceBreaker,10,,,,,,,,,,,,,Common Event: The Matrix (8/25),,Allegory of the Cave,,Feminist Manifesto,,,,,
0,1,"Allegory of the Cave, Feminist Manifesto, the Matrix, and Katie Merz's Live the Questions (The Smokestack)",,Paper: Essay 1 Handed Out,Assignments/Essay1,100,_pages/Assignments/asmt-essay1.md,,Participation: Ice Breaker Reflection Due,Participation/IceBreaker,10,,,,,,,,Bear Tracks: Adding Content to your Bear Tracks Page,https://www.ursinus.edu/live/files/3499-how-to-add-content-to-bear-tracks-pages,,,,,,,,
1,0,"Allegory of the Cave, Feminist Manifesto, the Matrix, and Katie Merz's Live the Questions (The Smokestack)",,Participation: Pre-Assessment Handed Out,Participation/PreAssessment,10,,,,,,,,,,,,,Common Event: Community Drawing Project (9/6),,,,,,,,,
1,1,"Allegory of the Cave, Feminist Manifesto, the Matrix, and Katie Merz's Live the Questions (The Smokestack)",,Participation: Thesis Statement and Introduction for Essay 1 Due,,10,,,,,,,,,,,,,,,,,,,,,,
2,0,Lysistrata,Activities/Lysistrata,,,,,,,,,,,,,,,,Lysistrata,,,,,,,,,
2,1,Lysistrata,,Paper: First Draft of Essay 1 Due,Assignments/Essay1,30,_pages/Assignments/asmt-essay1.md,,Participation: Writing Fellow Meeting Reflection 1 Handed Out,Participation/WritingFellowReflection,10,_pages/Participation/participation-writingfellowreflection.md,,,,,,,,,,,,,,,,
3,0,Sappho,Activities/Sappho,,,,,,,,,,,,,,,,Sappho (poems 1-2; 4-5; 8-9; 12-15; 17; 20-21; 37-84; 87-88; 97-100),,,,,,,,,
3,1,Sappho,,Participation: Pre-Assessment Due,Participation/PreAssessment,10,,,,,,,,,,,,,,,,,,,,,,
4,0,Euthyphro,Activities/Euthyphro,,,,,,,,,,,,,,,,Euthyphro,,,,,,,,,
4,1,Euthyphro,,Participation: Writing Fellow Meeting Reflection 1 Due,Participation/WritingFellowReflection,10,_pages/Participation/participation-writingfellowreflection.md,,,,,,,,,,,,,,,,,,,,,
5,0,Genesis,Activities/Genesis,,,,,,,,,,,,,,,,Genesis chapters 1-22,,Discussion with Robert Alter (supplemental recording),,,,,,,
5,1,Genesis,,Paper: Essay 1 Due,Assignments/Essay1,70,_pages/Assignments/asmt-essay1.md,,Paper: Essay 2 Handed Out,Assignments/Essay2,100,_pages/Assignments/asmt-essay2.md,,,,,,,,,,,,,,,,
6,0,Confucius: Analects,Activities/Confucius,,,,,,,,,,,,,,,,Analects of Confucius,,,,,,,,,
6,1,Confucius: Analects,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,Matthew 5-7 and Luke 10,Activities/Biblical,Paper: First Draft of Essay 2,Assignments/Essay2,30,_pages/Assignments/asmt-essay2.md,,Participation: Writing Fellow Meeting Reflection 2 Handed Out,Participation/WritingFellowReflection,10,_pages/Participation/participation-writingfellowreflection.md,,,,,,,Matthew 5-7 (Sermon on the Mount),,Luke 10 (The Good Samaritan),,,,,,,
8,0,Matthew 5-7 and Luke 10,,,,,,,,,,,,,,,,,"Get Over Yourself - Self-Transcendence in the Book of Genesis (talk by Rabbi David Wolpe, 10/24)",,,,,,,,,
8,1,Darwin and Roughgarden,Activities/Darwin,Participation: Thesis Statement and Introduction for Essay 2 Due,,10,,,,,,,,,,,,,On the Origin of Species,,,,,,,,,
9,0,Darwin and Roughgarden,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,Darwin and Roughgarden,Activities/EvolutionsRainbow,Participation: Writing Fellow Meeting Reflection 2 Due,Participation/WritingFellowReflection,10,_pages/Participation/participation-writingfellowreflection.md,,,,,,,,,,,,Evolution's Rainbow,,,,,,,,,
10,0,Darwin and Roughgarden,,Participation: Self-Assessment Handed Out,Participation/SelfAssessment,10,,,,,,,,,,,,,,,,,,,,,,
10,1,God is Red,Activities/GodIsRed,Paper: Essay 2 Due,Assignments/Essay2,70,_pages/Assignments/asmt-essay2.md,,Paper: Essay 3 Handed Out,Assignments/Essay3,100,_pages/Assignments/asmt-essay3.md,,,,,,,God is Red,,,,,,,,,
11,0,God is Red,,Participation: Coded Bias Reflection Handed Out,Participation/CodedBias,10,,,,,,,,,,,,,Common Event: Presepolis (11/15),,,,,,,,,
12,0,Between the World and Me,Activities/Coates,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,Between the World and Me,,Participation: Self-Assessment Due,Participation/SelfAssessment,10,,,,,,,,,,,,,,,,,,,,,,
13,1,Between the World and Me,,Participation: Coded Bias Reflection Due,Participation/CodedBias,10,,,,,,,,,,,,,In His Own Words: Ta-Nehisi Coates (supplemental recording),,,,,,,,,
14,0,Select Your Quest: Coded Bias,Activities/CodedBias,Paper: First Draft of Essay 3,Assignments/Essay3,30,_pages/Assignments/asmt-essay3.md,,,,,,,,,,,,Coded Bias,,Are We Automating Racism?,https://www.youtube.com/watch?v=Ok5sKLXqynQ&list=PLJ8cMiYb3G5cOFj1VQf8ykNOI0ptuHybc&index=4,,,,,,
14,1,Select Your Quest: Coded Bias,,Paper: Essay 3,Assignments/Essay3,70,_pages/Assignments/asmt-essay3.md,,,,,,,,,,,,,,,,,,,,,
